Date,Open,High,Low,Close,Adjusted_close,Volume,SMA5,SMA21,SMA50,MACD,MACDS,RSI,ATRts,ATRts1,Gap,Price_Retrace,Macd_Retrace
2010-07-19,249.88,249.88,239.6,245.58,30.4535,36589212,250.291,258.56804761904704,255.52666,-2.24118412255743,-0.8745466540636521,39.039517841091794,266.724948707151,248.22745725472998,0.02000000000001,0,0
2010-07-20,242.9,252.9,240.01,251.89,31.2358,38391073,250.3094,257.511666666667,255.84726,-2.17607655289044,-1.13485263382901,46.5448311772835,265.924278874016,258.153014085416,2.68000000000001,0,1
2010-07-21,265.09,265.15,254.0,254.24,31.5275,42345346,250.612,256.753095238095,255.85226,-1.9128033680756296,-1.29044278067833,49.0601954909534,265.924278874016,258.153014085416,13.2,0,0
2010-07-22,257.68,260.0,255.31,259.024,32.1206,23047046,252.1268,256.04709523809504,255.90234,-1.30310724472412,-1.29297567348749,53.8238166495505,265.924278874016,258.153014085416,3.44,0,0
2010-07-23,257.09,260.38,256.28,259.94,32.234,19049523,254.1348,255.52185714285702,255.85934,-0.737503646716817,-1.18188126813336,54.697375741055495,265.924278874016,245.20133678826699,1.93400000000003,0,0
2010-07-26,260.0,260.0998,257.71,259.28,32.1523,15019636,256.8748,255.05900000000003,255.87774,-0.33861189731831604,-1.01322739397035,53.90606864666861,265.924278874016,247.65186943061403,0.060000000000002,0,0
2010-07-27,260.87,264.8,260.3,264.08,32.7472,20884663,259.3128,254.934238095238,256.08294,0.360674936510293,-0.7384469278742192,58.597322963985604,265.924278874016,248.732555544491,1.59000000000003,0,0
2010-07-28,263.67,265.99,260.25,260.96,32.3603,18570870,260.6568,254.584714285714,256.21774,0.655550091942871,-0.459647523910801,54.700299919211396,265.924278874016,253.986044435593,0.409999999999968,-1,0
2010-07-29,260.71,262.65,256.1,258.11,32.0071,22993055,260.474,254.677095238095,256.33274,0.651756551704068,-0.237366708787827,51.341394259112604,265.924278874016,253.986044435593,0.25,0,-1
2010-07-30,255.8925,259.7,254.9,257.25,31.9003,16016280,259.936,254.949476190476,256.51094,0.5727529910987529,-0.07534276881051201,50.3369331524303,265.924278874016,253.986044435593,2.2175,0,0
2010-08-02,260.44,262.59,259.62,261.85,32.4708,15288718,260.45,255.586142857143,256.99274,0.871280081893985,0.113981801330388,55.3669151956193,265.924278874016,253.986044435593,3.19,0,0
2010-08-03,261.01,263.26,259.42,261.93,32.4809,14916174,260.02,256.299952380952,257.38494,1.10162147688294,0.311509736440898,55.451420427815705,265.924278874016,253.986044435593,0.840000000000032,0,0
2010-08-04,262.84,264.28,260.311,262.98,32.6111,15019868,260.42400000000004,256.983285714286,257.70934,1.35329497464488,0.519866784081695,56.612534717748495,265.924278874016,253.986044435593,0.909999999999968,0,0
2010-08-05,261.73,263.18,260.55,261.7,32.4522,10334374,261.142,257.127809523809,258.03894,1.4329446384225,0.702482354949856,54.7394939048347,265.924278874016,255.089941152524,1.25,0,0
2010-08-06,259.78,261.49,257.63,260.091,32.2528,15893330,261.7102,257.223095238095,258.35858,1.35066509137164,0.832118902234212,52.39290052813029,265.924278874016,255.089941152524,1.92000000000002,0,-1
2010-08-09,261.48,262.15,259.57,261.75,32.4587,10825908,261.6902,257.324523809524,258.52658,1.4031507443502802,0.946325270657427,54.5560577569137,265.924278874016,255.089941152524,1.3890000000000102,0,0
2010-08-10,259.85,260.45,257.55,259.41,32.1684,16139915,261.1862,257.425714285714,258.57718,1.24161499389948,1.00538321530584,51.0337446717675,265.924278874016,255.45452987009202,1.89999999999998,0,0
2010-08-11,255.4,255.69,249.81,250.19,31.0249,22144724,258.6282,257.34914285714297,258.36438,0.365407611137073,0.877388094472084,40.0591903988138,265.924278874016,255.45452987009202,4.01000000000002,0,0
2010-08-12,246.69,253.1,246.12,251.79,31.2233,19104262,256.6462,257.304523809524,258.12118,-0.197608516225273,0.662388772332613,42.375057863345,264.194832634192,258.10710088314096,3.5,0,0
2010-08-13,251.65,251.88,249.09,249.1,30.89,12673805,254.448,257.192619047619,257.84078,-0.8510529634040721,0.35970042518527595,39.604587123562496,264.194832634192,258.10710088314096,0.139999999999986,0,0
2010-08-16,247.58,250.01,246.62,247.64,30.7087,11372407,251.626,257.085,257.67427999999995,-1.4697794908130402,-0.006195558014387,38.1468241667843,262.664003562818,256.67914456521,1.51999999999998,0,0
2010-08-17,250.08,254.63,249.2,251.97,31.2458,15094603,250.138,257.389285714286,257.69488,-1.59237401239199,-0.323431248889907,44.653394571179,260.638558722505,254.720315652168,2.4400000000000297,1,0
2010-08-18,252.36,254.67,251.58,253.07,31.3818,12131989,250.71400000000003,257.445476190476,257.76968,-1.58252785109465,-0.5752505693308559,46.201670607612,260.638558722505,254.720315652168,0.3900000000000151,0,1
2010-08-19,252.84,253.48,248.68,249.88,30.9865,15239461,250.332,257.237857142857,257.90328,-1.81125205120537,-0.8224508657057591,42.4895489207951,260.638558722505,254.720315652168,0.22999999999999,0,0
2010-08-20,249.39,253.92,249.0,249.64,30.9567,13722458,250.44,256.791,257.88588,-1.98895617321571,-1.05575192720775,42.21473807681609,260.638558722505,254.720315652168,0.4900000000000089,0,0
2010-08-23,251.79,252.0,245.25,245.8,30.4806,14788116,250.072,256.117666666667,257.73168,-2.41184166854327,-1.32696987547486,37.98188735366461,260.638558722505,254.720315652168,2.15000000000001,0,0
2010-08-24,242.67,243.0,238.65,239.93,29.7527,21519744,247.664,255.196238095238,257.44468,-3.18393894643762,-1.69836368966741,32.6006018744115,258.971597270386,253.58103303290198,3.1300000000000203,0,0
2010-08-25,238.04,243.99,237.2,242.89,30.1197,21316604,245.628,254.18719047619098,257.10868,-3.5164489055122203,-2.06198073283637,37.41578278391072,253.62419757367698,248.29982642632197,1.89000000000001,0,0
2010-08-26,245.45,245.75,240.2778,240.28,29.796,16660829,243.708,253.20242857142898,256.56928,-3.94509404261612,-2.43860339479232,35.0387320464952,253.62419757367698,248.29982642632197,2.56,0,0
2010-08-27,241.75,242.61,235.56,241.62,29.9622,19592368,242.104,252.417190476191,255.96428,-4.1290742036791,-2.77669755656968,37.2431489588705,253.62419757367698,248.29982642632197,1.47,0,0
